"Activity","StartWeek","StartDay","StartDate","StartTime","EndDay","EndDate","EndTime","Duration","StaffMember","Room","StudentSets","Department","Size"
"k0901","39","Wed","2018-09-26","11:45","Wed","2018-09-26","12:45","1:00","ATE","A223 (0)","3GA2","","0"
"rek","39","Wed","2018-09-26","11:45","Wed","2018-09-26","12:45","1:00","HAL","B116 (0)","1GA1","","0"
"k0072","39","Wed","2018-09-26","12:15","Wed","2018-09-26","13:15","1:00","AKA","A115 (0)","1DP1","","0"
"rek","39","Wed","2018-09-26","12:15","Wed","2018-09-26","13:15","1:00","RDK","B218 (0)","2GV1","","0"
"k0726","39","Wed","2018-09-26","12:15","Wed","2018-09-26","13:45","1:30","MKR","B214 (0)","2GV3","","0"
"gamedes","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:15","1:00","JWO","B115 (0)","1GD2","","0"
"k0901","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:15","1:00","ATE","A223 (0)","3GA2","","0"
"project","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:15","1:00","MJA","A225 (0)","1GA1","","0"
"project","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:15","1:00","SLO","A224 (0)","1GA2","","0"
"rek","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:15","1:00","HAL","B116 (0)","2GA2","","0"
"rek","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:15","1:00","RDK","B218 (0)","1GV4","","0"
"slb","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:15","1:00","RBA","A127 (0)","2GD1","","0"
"eng","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:45","1:30","HBE","A130 (0)","2GA1","","0"
"gameplay","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:45","1:30","LKR","A128 (0)","1GD1","","0"
"ned","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:45","1:30","JMA","A115 (0)","2DP2","","0"
"rek","39","Wed","2018-09-26","13:15","Wed","2018-09-26","14:45","1:30","JBO","B114 (0)","2GD2","","0"
"kunst","39","Wed","2018-09-26","13:45","Wed","2018-09-26","14:45","1:00","MKO","B214 (0)","2GV3","","0"
"gametech","39","Wed","2018-09-26","14:15","Wed","2018-09-26","14:45","0:30","BHN","A223 (0)","2GA2","","0"
"k0072","39","Wed","2018-09-26","14:15","Wed","2018-09-26","14:45","0:30","MJA","A225 (0)","1GA1","","0"
"k0072","39","Wed","2018-09-26","14:15","Wed","2018-09-26","14:45","0:30","SLO","A224 (0)","1GA2","","0"
"rek","39","Wed","2018-09-26","14:15","Wed","2018-09-26","14:45","0:30","HAL","B116 (0)","1GD2","","0"
"rek","39","Wed","2018-09-26","14:15","Wed","2018-09-26","14:45","0:30","RDK","B218 (0)","1GV3","","0"
"gameplay","39","Wed","2018-09-26","15:00","Wed","2018-09-26","15:30","0:30","LKR","A128 (0)","1GD1","","0"
"kunst","39","Wed","2018-09-26","15:00","Wed","2018-09-26","15:30","0:30","MKO","B214 (0)","2GV3","","0"
"rek","39","Wed","2018-09-26","15:00","Wed","2018-09-26","15:30","0:30","JBO","B114 (0)","2GD2","","0"
"rek","39","Wed","2018-09-26","15:00","Wed","2018-09-26","15:30","0:30","HAL","B116 (0)","1GD2","","0"
"rek","39","Wed","2018-09-26","15:00","Wed","2018-09-26","15:30","0:30","RDK","B218 (0)","1GV3","","0"
"gametech","39","Wed","2018-09-26","15:00","Wed","2018-09-26","16:30","1:30","BHN","A223 (0)","2GA2","","0"
"k0072","39","Wed","2018-09-26","15:00","Wed","2018-09-26","16:30","1:30","MJA","A225 (0)","1GA1","","0"
"k0072","39","Wed","2018-09-26","15:00","Wed","2018-09-26","16:30","1:30","SLO","A224 (0)","1GA2","","0"
"k0072","39","Wed","2018-09-26","15:30","Wed","2018-09-26","16:30","1:00","HBE","A127 (0)","1GD2","","0"
"slb","39","Wed","2018-09-26","15:30","Wed","2018-09-26","16:30","1:00","LKR","B116 (0)","2GD2","","0"
"rek","39","Thu","2018-09-27","08:30","Thu","2018-09-27","09:30","1:00","HAL","B116 (0)","1GD2","","0"
"rek","39","Thu","2018-09-27","08:30","Thu","2018-09-27","09:30","1:00","JLI","B214 (0)","3GV3","","0"
"slb","39","Thu","2018-09-27","08:30","Thu","2018-09-27","09:30","1:00","LMU","A130 (0)","2GA1","","0"
"2d","39","Thu","2018-09-27","08:30","Thu","2018-09-27","10:00","1:30","MRE","A224 (0)","2GA2","","0"
"2d","39","Thu","2018-09-27","08:30","Thu","2018-09-27","10:00","1:30","LEN","A127 (0)","1GA2","","0"
"k0072","39","Thu","2018-09-27","08:30","Thu","2018-09-27","10:00","1:30","CPE","A225 (0)","1GD1","","0"
"typo","39","Thu","2018-09-27","08:30","Thu","2018-09-27","10:00","1:30","ESC","B218 (0)","1GV4","","0"
"gametech","39","Thu","2018-09-27","09:00","Thu","2018-09-27","10:00","1:00","LCA","A128 (0)","3GA1","","0"
"eng","39","Thu","2018-09-27","09:30","Thu","2018-09-27","10:00","0:30","MKO","B214 (0)","2GV5","","0"
"program","39","Thu","2018-09-27","09:30","Thu","2018-09-27","10:00","0:30","RBR","A129 (0)","1GD2","","0"
"rek","39","Thu","2018-09-27","09:30","Thu","2018-09-27","10:00","0:30","HAL","B116 (0)","2GA1","","0"
"k0072","39","Thu","2018-09-27","10:15","Thu","2018-09-27","10:45","0:30","CPE","A225 (0)","1GD1","","0"
"rek","39","Thu","2018-09-27","10:15","Thu","2018-09-27","10:45","0:30","HAL","B116 (0)","2GA1","","0"
"typo","39","Thu","2018-09-27","10:15","Thu","2018-09-27","10:45","0:30","ESC","B218 (0)","1GV4","","0"
"eng","39","Thu","2018-09-27","10:15","Thu","2018-09-27","11:15","1:00","MKO","B214 (0)","2GV5","","0"
"gametech","39","Thu","2018-09-27","10:15","Thu","2018-09-27","11:15","1:00","LCA","A128 (0)","3GA1","","0"
